name_NOUN, 2.1405403094831854E-4
demanding_VERB, 1.196370485558873E-5
register_NOUN, 1.2370100375846959E-5
convicted_VERB, 8.188991159840953E-6
retrieved_VERB, 3.892497579727205E-6
stood_VERB, 6.849798737675882E-5
looked_VERB, 1.4756734744878486E-4
door_NOUN, 1.1084461584687233E-4
arrest_VERB, 3.6314054113972817E-6
cry_VERB, 9.329507884103805E-6
money_NOUN, 1.6671868361299856E-4
wanted_VERB, 1.3700870040338485E-4
loudly_ADV, 5.687551492883358E-6
started_VERB, 9.409006015630439E-5
line_NOUN, 2.0407571428222583E-4
finish_VERB, 1.3642582143802428E-5
emptied_VERB, 2.7365509140508946E-6
obtained_VERB, 8.863030379870906E-5
pointed_VERB, 4.243051116645802E-5
wrote_VERB, 9.869100395007991E-5
snatched_VERB, 2.755735886239563E-6
quickly_ADV, 7.889552507549525E-5
activated_VERB, 7.827730041753966E-6
sounded_VERB, 1.352107583443285E-5
escaped_VERB, 1.103267377402517E-5
froze_VERB, 2.6738010774352006E-6
caught_VERB, 4.3364175871829504E-5
collected_VERB, 3.3988153518293984E-5
see_VERB, 7.226861256640404E-4
stuff_VERB, 9.340293104287412E-7
second_ADJ, 2.6231095544062557E-4
wore_VERB, 1.8367366101301742E-5
beard_NOUN, 5.302980889609899E-6
sack_NOUN, 3.929080116904516E-6
just_ADV, 4.741980432299897E-4
supervisor_NOUN, 9.393205982632934E-6
burst_NOUN, 4.358852947916603E-6
customer_NOUN, 3.532110349624418E-5
delivered_VERB, 2.6025879378721584E-5
adjusted_VERB, 1.541054298286326E-5
button_NOUN, 3.137471985610318E-5
foot_NOUN, 3.736101971298922E-5
large_ADJ, 3.210627968655899E-4
booth_NOUN, 3.3085585300796085E-6
asked_VERB, 1.934375410201028E-4
ground_NOUN, 1.0044380978797562E-4
empty_ADJ, 3.536631484166719E-5
called_VERB, 2.9231864027678967E-4
read_VERB, 1.3802767789456994E-4
give_VERB, 2.2584495891351253E-4
gave_VERB, 1.3205553841544315E-4
facility_NOUN, 2.2321610595099627E-5
threw_VERB, 1.681172780081397E-5
coat_NOUN, 1.8421062304696533E-5
scene_NOUN, 5.501547311723698E-5
jail_NOUN, 1.1057103620260023E-5
showed_VERB, 6.902919776621274E-5
pointing_VERB, 1.57155926899577E-5
came_VERB, 2.611119532957673E-4
moved_VERB, 8.927227099775337E-5
transaction_NOUN, 2.4446540555800313E-5
desk_NOUN, 2.3659269027120898E-5
grabbed_VERB, 1.0472472786204889E-5
building_NOUN, 8.672042458783835E-5
frightened_VERB, 7.0068005243228985E-6
saw_VERB, 1.5125124191399663E-4
scanned_VERB, 3.8042683172534453E-6
drove_VERB, 2.0664898329414427E-5
filled_VERB, 4.9322095219395126E-5
pocketed_VERB, 4.44630134666113E-7
bills_NOUN, 1.4110202573647258E-5
exit_NOUN, 1.0925323476840276E-5
frightened_ADJ, 3.913888235729246E-6
pressed_VERB, 1.900822935567703E-5
arrested_VERB, 1.562450088385958E-5
gun_NOUN, 2.5148205349978525E-5
pm_NOUN, 5.928443897573743E-6
approached_VERB, 1.8977277068188415E-5
people_NOUN, 6.883499678224325E-4
fill_VERB, 2.577473896963056E-5
pocket_NOUN, 1.7343718718620947E-5
fast_ADV, 2.950195012090262E-5
back_ADV, 3.609613369917497E-4
safe_ADJ, 4.179820534773171E-5
window_NOUN, 7.36616799258627E-5
place_NOUN, 3.157052589813247E-4
told_VERB, 1.8630994018167257E-4
left_VERB, 2.05193244619295E-4
mustache_NOUN, 1.674294310305413E-6
passed_VERB, 7.52779218601063E-5
vault_NOUN, 2.8381653010001173E-6
triggered_VERB, 6.044608016964048E-6
bag_NOUN, 2.2303330479189753E-5
noticed_VERB, 2.7755912742577494E-5
get_VERB, 3.6328482965473083E-4
black_ADJ, 1.6308969934470953E-4
drawer_NOUN, 5.288442844175734E-6
fake_ADJ, 2.9397466732916654E-6
ran_VERB, 4.692657421401236E-5
prison_NOUN, 2.7311930534779093E-5
parked_VERB, 5.603920317298616E-6
greeted_VERB, 6.978509281907463E-6
availble_ADJ, 7.857949979594992E-9
teller_NOUN, 2.1455140995385593E-6
help_VERB, 1.7134511726908387E-4
secret_ADJ, 2.5609668773540763E-5
leaving_VERB, 5.248293055046815E-5
car_NOUN, 8.53824611112941E-5
standing_VERB, 4.687464424932841E-5
calmly_ADV, 4.263025903128437E-6
help_NOUN, 7.173929188866168E-5
hit_VERB, 3.427346855460201E-5
placed_VERB, 8.733444337849505E-5
rifle_NOUN, 7.5154126534471285E-6
secretly_ADV, 5.159985994396265E-6
picked_VERB, 2.8217998988111503E-5
open_ADJ, 1.4993666409282013E-4
put_VERB, 2.136758455890231E-4
pulled_VERB, 3.933723201043904E-5
went_VERB, 2.0510693138930947E-4
loaded_VERB, 1.2548254835564876E-5
covered_VERB, 5.797815174446441E-5
walked_VERB, 4.8008142766775566E-5
handwritten_ADJ, 1.5867076740505582E-6
buldge_NOUN, 5.244272030524577E-10
helped_VERB, 5.266171501716599E-5
baseball_NOUN, 1.0920717159024207E-5
exited_VERB, 9.746240323238454E-7
bags_NOUN, 1.0089671650348465E-5
satchel_NOUN, 4.308570510147547E-7
entered_VERB, 5.042173470428679E-5
removed_VERB, 5.02604256325867E-5
inside_NOUN, 1.0870614551095059E-5
containing_VERB, 4.6800641939626075E-5
scared_VERB, 7.795502506269259E-6
locker_NOUN, 2.050863213298726E-6
old_ADJ, 2.931348164565861E-4
pushed_VERB, 2.5318969892396127E-5
bank_NOUN, 5.9590107412077487E-5
front_ADJ, 4.0338787221116947E-5
